Display Name	Service Name (Registry)	DEFAULT Windows 10 Home	DEFAULT Windows 10 Pro	Safe for DESKTOP	Safe for LAPTOP or TABLET	Tweaked for DESKTOP	Quick Notes
ActiveX Installer (AxInstSV)	AxInstSV	Manual	Manual	Manual	Manual	Manual	
AllJoyn Router Service	AJRouter	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Disabled *	
App Readiness	AppReadiness	Manual	Manual	Manual	Manual	Manual	
Application Host Helper Service **	AppHostSvc	Not Installed	Not Installed	Not Installed	Not Installed	Not Installed	If installed (Automatic, Running)
Application Identity	AppIDSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Application Information	Appinfo	Manual (Trigger Start, Running)	Manual (Trigger Start, Running)	Manual	Manual	Manual	
Application Layer Gateway Service	ALG	Manual	Manual	Disabled *	Disabled *	Disabled *	Old functionality no longer needed.
Application Management	AppMgmt	Not Available	Manual	Manual	Manual	Disabled *	Required for Group Policy software management
AppX Deployment Service (AppXSVC)	AppXSVC	Manual	Manual	Manual	Manual	Manual	Windows Store integration. Cannot be disabled via services.msc
AssignedAccessManager Service	AssignedAccessManagerSvc	Not Available	Manual	Manual	Manual	Manual	
ASP.NET State Service **	aspnet_state	Not Installed	Not Installed	Not Installed	Not Installed	Not Installed	If installed: (Manual)
Auto Time Zone Updater	tzautoupdate	Disabled	Disabled	Disabled	Disabled	Disabled	
AVCTP service	BthAvctpSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Do not disable if you are using Bluetooth Audio Device or Wireless Headphones.
Background Intelligent Transfer Service	BITS	Manual or Automatic (Delayed Start, Running)	Manual or Automatic (Delayed Start, Running)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Manual or Automatic (Delayed Start, Running) depending on other optional services installed
Background Tasks Infrastructure Service	BrokerInfrastructure	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Base Filtering Engine	BFE	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Do not disable due to Windows Firewall integration.
BitLocker Drive Encryption Service	BDESVC	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Do not disable if using storage encryption.
Block Level Backup Engine Service	wbengine	Manual	Manual	Manual	Manual	Manual	Used by Windows Backup
Bluetooth Audio Gateway Service	BTAGService	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Disabled *	New. Wireless headsets.
Bluetooth Support Service	bthserv	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Disabled *	Disable if no requirement for Bluetooth devices is desired.
Bluetooth User Support Service_?????	BluetoothUserService_?????	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	New
BranchCache	PeerDistSvc	Not Available	Manual	Disabled *	Disabled *	Disabled *	Used by Windows Update for download sharing.
Capability Access Manager Service	camsvc	Manual	Manual	Manual	Manual	Manual	
CaptureService_?????	CaptureService_?????	Not Available	Manual	Manual	Manual	Disabled *	New. OneCore Capture Service.
Certificate Propagation	CertPropSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Disabled *	Used with Smart Card login. No harm in keeping the default Manual mode.
Claims to Windows Token Service **	c2wts	Not Installed	Not Installed	Not Installed	Not Installed	Not Installed	If installed: (Manual)
Client for NFS	NfsClnt	Not Available	Not Available	Disabled *	Disabled *	Disabled *	Network File System Client available in Education/Enterprise versions.
Client License Service (ClipSVC)	ClipSVC	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Cannot be disabled via services.msc
CNG Key Isolation	KeyIso	Manual (Trigger Start, Running)	Manual (Trigger Start, Running)	Manual	Manual	Manual	Do not disable.
COM+ Event System	EventSystem	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Do not disable.
COM+ System Application	COMSysApp	Manual	Manual	Manual	Manual	Manual	Do not disable.
Computer Browser	Browser	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Network discovery of systems on local network.
Connected Device Platform Service	CDPSvc	Automatic (Delayed Start, Trigger Start)	Automatic (Delayed Start, Trigger Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	
Connected Devices Platform User Service_?????	CDPUserSvc_?????	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Connected User Experiences and Telemetry	DiagTrack	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Feedback and Diagnostics.
Contact Data_?????	PimIndexMaintenanceSvc_?????	Manual	Manual	Manual	Manual	Manual	Cannot be disabled via services.msc
CoreMessaging	CoreMessagingRegistrar	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Credential Manager	VaultSvc	Manual	Manual	Manual	Manual	Manual	Do not disable.
Cryptographic Services	CryptSvc	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Do not disable.
Data Sharing Service	DsSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Data Usage	DusmSvc	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
DCOM Server Process Launcher	DcomLaunch	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Delivery Optimization	DoSvc	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	
Device Association Service	DeviceAssociationService	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Device Install Service	DeviceInstall	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Device Management Enrollment Service	DmEnrollmentSvc	Manual	Manual	Manual	Manual	Manual	
Device Setup Manager	DsmSVC	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
DevicePicker_27845	DevicePickerUserSvc_27845	Manual	Manual	Manual	Manual	Manual	New. Cannot be disabled via services.msc
DevicesFlow_?????	DevicesFlowUserSvc_?????	Manual	Manual	Manual	Manual	Manual	Cannot be disabled via services.msc
DevQuery Background Discovery Broker	DevQueryBroker	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
DHCP Client	Dhcp	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Do not disable.
Diagnostic Execution Service	diagsvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Diagnostic Policy Service	DPS	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Diagnostic Service Host	WdiServiceHost	Manual (Running)	Manual (Running)	Manual	Manual	Manual	
Diagnostic System Host	WdiSystemHost	Manual	Manual	Manual	Manual	Manual	
Distributed Link Tracking Client	TrkWks	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Distributed Transaction Coordinator	MSDTC	Manual	Manual	Manual	Manual	Manual	
dmwappushsvc	dmwappushsvc	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	
DNS Client	Dnscache	Automatic (Trigger Start, Running)	Automatic (Trigger Start, Running)	Automatic	Automatic	Automatic	Do not disable.
