Display Name	Service Name (Registry)	DEFAULT Starter	DEFAULT Home Basic	DEFAULT Home Premium	DEFAULT Professional	DEFAULT Ultimate	DEFAULT Enterprise	Safe	Tweaked	Bare-bones
ActiveX Installer (AxInstSV)	AxInstSV	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Disabled *	Disabled *
Adaptive Brightness	SensrSvc	Not Available	Manual	Manual	Manual	Manual	Manual	Manual	Disabled *	Disabled *
Application Experience	AeLookupSvc	Manual ****	Manual ****	Manual ****	Manual ****	Manual ****	Manual ****	Manual	Manual	Manual
Application Host Helper Service **	AppHostSvc	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed	Not Installed	Not Installed
Application Identity	AppIDSvc	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual
Application Information	Appinfo	Manual (Started)	Manual (Started)	Manual (Started)	Manual (Started)	Manual (Started)	Manual (Started)	Manual	Manual	Manual
Application Layer Gateway Service	ALG	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Disabled *	Disabled *
Application Management	AppMgmt	Not Available	Not Available	Not Available	Manual	Manual	Manual	Disabled *	Disabled *	Disabled *
ASP.NET State Service **	aspnet_state	Not Available	Not Available	Not Installed (Manual)	Not Installed (Manual)	Not Installed (Manual)	Not Installed (Manual)	Not Installed	Not Installed	Not Installed
Background Intelligent Transfer Service	BITS	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Disabled *
Base Filtering Engine	BFE	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic	Automatic	Disabled *
BitLocker Drive Encryption Service	BDESVC	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Disabled *	Disabled *
Block Level Backup Engine Service	wbengine	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Disabled *
