Display Name	Service Name (Registry)	DEFAULT Windows 8.1	DEFAULT Windows 8.1 Pro	DEFAULT Windows 8.1 Enterprise	Safe
ActiveX Installer (AxInstSV)	AxInstSV	Manual	Manual	Manual	Manual
App Readiness	AppReadiness	Manual	Manual	Manual	Manual
Application Experience	AeLookupSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Application Host Helper Service **	AppHostSvc	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed
Application Identity	AppIDSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Application Information	Appinfo	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual
Application Layer Gateway Service	ALG	Manual	Manual	Manual	Manual
AppX Development Service (AppXSVC)	AppXSVC	Manual	Manual	Manual	Manual
Application Management	AppMgmt	Not Available	Manual	Manual	Disabled *
ASP.NET State Service **	aspnet_state	Not Installed (Manual)	Not Installed (Manual)	Not Installed (Manual)	Not Installed
Background Intelligent Transfer Service	BITS	Automatic (Delayed Start, Started)	Automatic (Delayed Start, Started)	Automatic (Delayed Start, Started)	Automatic (Delayed Start)
Background Tasks Infrastructure Service	BrokerInfrastructure	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic
Base Filtering Engine	BFE	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic
BitLocker Drive Encryption Service	BDESVC	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Block Level Backup Engine Service	wbengine	Manual	Manual	Manual	Manual
Bluetooth Support Service	bthserv	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
BranchCache	PeerDistSvc	Not Available	Manual	Manual	Disabled *
Certificate Propagation	CertPropSvc	Manual	Manual	Manual	Disabled *
Claims to Windows Token Service **	c2wts	Not Installed (Manual)	Not Installed (Manual)	Not Installed (Manual)	Not Installed
Client for NFS	NfsClnt	Not Available	Not Available	Not Available	Disabled *
CNG Key Isolation	KeyIso	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual
COM+ Event System	EventSystem	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic
COM+ System Application	COMSysApp	Manual (Started)	Manual (Started)	Manual (Started)	Manual
Computer Browser	Browser	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual
Credential Manager	VaultSvc	Manual	Manual	Manual	Manual
Cryptographic Services	CryptSvc	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic
DCOM Server Process Launcher	DcomLaunch	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic
Device Association Service	DeviceAssociationService	Automatic (Trigger Start, Started)	Automatic (Trigger Start, Started)	Automatic (Trigger Start, Started)	Automatic
Device Install Service	DeviceInstall	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Device Setup Manager	DsmSVC	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
DHCP Client	Dhcp	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic
Diagnostic Policy Service	DPS	Automatic (Started)	Automatic (Started)	Automatic (Started)	Automatic
Diagnostic Service Host	WdiServiceHost	Manual (Started)	Manual (Started)	Manual (Started)	Manual
Diagnostic System Host	WdiSystemHost	Manual	Manual	Manual	Manual
Distributed Link Tracking Client	TrkWks	Automatic (Started)	Automatic (Started)	Automatic (Started)	Disabled *
Distributed Transaction Coordinator	MSDTC	Manual	Manual	Manual	Manual
DNS Client	Dnscache	Automatic (Trigger Start, Started)	Automatic (Trigger Start, Started)	Automatic (Trigger Start, Started)	Automatic
DS Role Server **	DsRoleSvc	Not Available	Not Available	Not Available	Not Installed
Encrypting File System (EFS)	EFS	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Extensible Authentication Protocol	EapHost	Manual	Manual	Manual	Manual
Family Safety	WPCSvc	Manual	Manual	Manual	Disabled *
Fax **	Fax	Manual	Manual	Manual	Manual
File History Service	fhsvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Function Discovery Provider Host	fdPHost	Manual (Started)	Manual (Started)	Manual (Started)	Manual
Function Discovery Resource Publication	FDResPub	Manual (Started)	Manual (Started)	Manual (Started)	Manual
Group Policy Client	gpsvc	Automatic (Trigger Start, Started)	Automatic (Trigger Start, Started)	Automatic (Trigger Start, Started)	Automatic
Health Key and Certificate Management	hkmsvc	Manual	Manual	Manual	Manual
HomeGroup Listener	HomeGroupListener	Manual	Manual	Manual	Manual
HomeGroup Provider	HomeGroupProvider	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual (Trigger Start, Started)	Manual
Human Interface Device Access	hidserv	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Hyper-V Data Exchange Service	vmickvpexchange	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
Hyper-V Guest Service Interface	vmicguestinterface	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
Hyper-V Guest Shutdown Service	vmicshutdown	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
Hyper-V Heartbeat Service	vmicheartbeat	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
Hyper-V Remote Desktop Virtualization Service	vmicrdv	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
Hyper-V Time Synchronization Service	vmictimesync	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
Hyper-V Volume Shadow Copy Requestor	vmicvss	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *
IIS Admin Service **	IISADMIN	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed (Automatic, Started)	Not Installed
IKE and AuthIP IPsec Keying Modules	IKEEXT	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
Interactive Services Detection	UI0Detect	Manual	Manual	Manual	Manual
Internet Connection Sharing (ICS)	SharedAccess	Disabled	Disabled	Disabled	Disabled
Internet Explorer ETW Collector Service	IEEtwCollectorService	Manual	Manual	Manual	Disabled *
IP Helper	iphlpsvc	Automatic (Started)	Automatic (Started)	Automatic (Started)	Disabled *
IPsec Policy Agent	PolicyAgent	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
KtmRm for Distributed Transaction Coordinator	KtmRm	Manual (Trigger Start)	Manual (Trigger Start)	Manual (Trigger Start)	Manual
